Local Language,English,Translated_English
نسخ الفاتورة التجارية الموقعة,,Copies of the signed commercial invoice
مصادق عليها بواسطة,,Certified by
وصف المستندات,,Description of documents
من,,From
الى,,To
م نذ ع شرة أا ام ,,Ten days ago
ت ارا خ مخ صص ,,Custom date
 س ب عد أا ام ,,Seven days
الا س ب عً ال ما ضي ,,Last week
ف ي ال مرة ال قادمة (X ا وً ما ),,In the next (X days)
ا رجى الاخ ت يار ,,Please select
ف ي ال ما ضي (X ا وً ما ),,In the past (X days)
ت ارا خ م ت غ ير ,,Relative date
هذا ال شهر ,,This month
ال ي مً ,,Today
هذا الا س ب عً ,,This week
ترتيب/تهيئة الفهرس,,Sort/Initialize the index
تصدير إلى Excel,,Export to Excel
تصدير إلى CSV,,Export to CSV
تصدير إلى PDF,,Export to PDF
تصدير إلى HTML,,Export to HTML
اسم البنك,,Bank Name
الرمز التعريفي للشركة,,Company Identifier
اسم الشرط,,Condition Name
عملة الحساب,,Account Currency
رمز الشركة,,Company Code
اسم البريد الالكتروني للمجموعة,,Group Email Name
الرمز التعريفي للمجموعة,,Group Identifier
رمز الدوله,,Country Code
السنة,,Year
رقم مرجعنا,,Our Reference Number
الرمز التعريفي للرسالة,,Message Identifier
الرمز التعريفي للمجموعة,,Group Identifier
اسم الطرف,,Party Name
رقم امر الشراء,,Purchase Order Number
اسم المستفيد,,Beneficiary Name
تاريخ الاصدار,,Issuance Date
عملة الاعتماد,,LC Currency
اسم النموذج,,Template Name
انشئت بواسطة,,Created By
نوع النموذج,,Form type
تاريخ الانشاء,,Creation date
اسم النموذج,,Form name
نوع النموذج,,Form type
انشئت بواسطة,,Created by
الرمز التعريفي للشركة,,Company ID
الرمز التعريفي للمستخدم,,User ID
رمز الدوله,,Country code
اسم القالب هو المعيار,,Template name is standard
الرمز التعريفي للمجموعة,,Group ID
مدفوع مقدما لشروط التسليم,,Prepaid under delivery terms
تصدير,,Export
استراد,,Import
رئيسي,,Main
حوالة,,Remittance
عنوان,,Address
اسم,,Name
اسم المستفيد,,Beneficiary name
عنوان المستفيد,,Beneficiary address
عنوان المشتري,,Buyer address
اسم المشتري,,Buyer name
بلد االوجهة,,Country of destination
الرمز الجمركي,,Customs code (HS)
الرمز الجمركي,,Customs code (HS)
الرمز الجمركي,,Customs code (HS)
الفرع/حساب العميل,,Branch/Customer account
رقم مرجع التوطين,,Domiciliation reference number
مبلغ التوطين ب دج,,Domiciliation amount in DZD
عملة/مبلغ التوطين,,Domiciliation currency/amount
وصف البظائع/الخدمات,,Description of goods/services
وصف البظائع/الخدمات,,Description of goods/services
وصف البظائع/الخدمات,,Description of goods/services
تاريخ الفاتاورة/الفاتورة المبدئية/العقد,,Date of the invoice/pro forma invoice/contract
تاريخ الفاتورة/الفاتورة المبدئية/العقد,,Date of the invoice/pro forma invoice/contract
رقم الفاتورة/الفاتورة المبدئية/العقد,,Invoice/pro forma invoice/contract number
شروط التسليم,,Delivery terms (Incoterms)
شروط التسليم,,Delivery terms (Incoterms)
رقم الفاتورة/الفاتورة المبدئية/العقد,,Invoice/pro forma invoice/contract number
